Upd;Lat;Long;Country;Sample_ID
Klever Guillermo;-16.7911069;-70.3336409;Perú;474630
Klever Guillermo;-16.7911111;-70.3334155;Perú;474629
Klever Guillermo;-16.7911154;-70.3331756;Perú;474628
Klever Guillermo;-16.7911226;-70.3329594;Perú;474627
Klever Guillermo;-16.7911207;-70.332727;Perú;474626
Klever Guillermo;-16.7911174;-70.332243;Perú;474625
Klever Guillermo;-16.7911126;-70.3317747;Perú;474624
Klever Guillermo;-16.7911346;-70.3315466;Perú;474623
Klever Guillermo;-16.7911381;-70.3313127;Perú;474622
Klever Guillermo;-16.7911247;-70.3319747;Perú;474605
Klever Guillermo;-16.79086472;-70.33375587;Perú;474646
Klever Guillermo;-16.79086846;-70.33353071;Perú;474645
Klever Guillermo;-16.79087608;-70.33328567;Perú;474644
Klever Guillermo;-16.79085535;-70.33307055;Perú;474643
Klever Guillermo;-16.7908766;-70.3328082;Perú;474642
Klever Guillermo;-16.7908728;-70.3326175;Perú;474641
Klever Guillermo;-16.7908902;-70.3323338;Perú;474640
Klever Guillermo;-16.7908847;-70.3321179;Perú;474639
Klever Guillermo;-16.7908716;-70.3318682;Perú;474638
Klever Guillermo;-16.7908951;-70.3316122;Perú;474637
Klever Guillermo;-16.7908902;-70.3314185;Perú;474636
Klever Guillermo;-16.7913326;-70.3337729;Perú;474604
Klever Guillermo;-16.7913284;-70.3335226;Perú;474603
Klever Guillermo;-16.791336;-70.3332952;Perú;474602
Klever Guillermo;-16.7913322;-70.3330502;Perú;474600
Klever Guillermo;-16.7913491;-70.3328211;Perú;474599
Klever Guillermo;-16.7913324;-70.3326178;Perú;474598
Klever Guillermo;-16.7913607;-70.3321155;Perú;474596
Klever Guillermo;-16.7913673;-70.3318811;Perú;474595
Klever Guillermo;-16.7913662;-70.3316656;Perú;474594
Klever Guillermo;-16.7913381;-70.3314464;Perú;474593
Klever Guillermo;-16.7913319;-70.3311954;Perú;474592
Klever Guillermo;-16.7920346;-70.3317633;Perú;474566
Klever Guillermo;-16.791554;-70.3341021;Perú;474621
Klever Guillermo;-16.79153959;-70.33388513;Perú;474620
Klever Guillermo;-16.79151924;-70.33364608;Perú;474618
Klever Guillermo;-16.7915471;-70.333453;Perú;474615
Klever Guillermo;-16.7915543;-70.3334312;Perú;474614
Klever Guillermo;-16.7915824;-70.3331723;Perú;474617
Klever Guillermo;-16.79155027;-70.33295668;Perú;474616
Klever Guillermo;-16.79154903;-70.33272642;Perú;474613
Klever Guillermo;-16.79153264;-70.33247269;Perú;474612
Klever Guillermo;-16.791572;-70.3322347;Perú;474611
Klever Guillermo;-16.7915886;-70.3320129;Perú;474610
Klever Guillermo;-16.7915823;-70.3317574;Perú;474609
Klever Guillermo;-16.7915809;-70.3315463;Perú;474608
Klever Guillermo;-16.7915704;-70.3313009;Perú;474607
Klever Guillermo;-16.7915699;-70.331059;Perú;474606
Klever Guillermo;-16.7920237;-70.3340782;Perú;474578
Klever Guillermo;-16.7920212;-70.3338862;Perú;474577
Klever Guillermo;-16.792013;-70.3336542;Perú;474576
Klever Guillermo;-16.7920247;-70.3334213;Perú;474575
Klever Guillermo;-16.7920042;-70.3334182;Perú;474574
Klever Guillermo;-16.7920291;-70.3331816;Perú;474573
Klever Guillermo;-16.7920184;-70.332962;Perú;474572
Klever Guillermo;-16.7920271;-70.332716;Perú;474570
Klever Guillermo;-16.792015;-70.3324503;Perú;474569
Klever Guillermo;-16.7920399;-70.3322269;Perú;474568
Klever Guillermo;-16.7920456;-70.3320203;Perú;474567
Klever Guillermo;-16.7920612;-70.3315661;Perú;474565
Klever Guillermo;-16.7926822;-70.3349491;Perú;474548
Klever Guillermo;-16.7924611;-70.3346045;Perú;474546
Klever Guillermo;-16.7924729;-70.3343752;Perú;474545
Klever Guillermo;-16.7926966;-70.334251;Perú;474544
Klever Guillermo;-16.7927174;-70.3337826;Perú;474542
Klever Guillermo;-16.7924447;-70.3339278;Perú;474539
Klever Guillermo;-16.7924629;-70.3336587;Perú;474538
Klever Guillermo;-16.792477;-70.3334385;Perú;474537
Klever Guillermo;-16.7924612;-70.3331834;Perú;474536
Klever Guillermo;-16.7926824;-70.3358885;Perú;474524
Klever Guillermo;-16.793135;-70.3361348;Perú;474523
Klever Guillermo;-16.793346;-70.3362546;Perú;474522
Klever Guillermo;-16.7935844;-70.3363657;Perú;474521
Klever Guillermo;-16.7938083;-70.336489;Perú;474520
Klever Guillermo;-16.794028;-70.3366084;Perú;474519
Klever Guillermo;-16.7942533;-70.3367276;Perú;474518
Klever Guillermo;-16.794687;-70.3371881;Perú;474513
Klever Guillermo;-16.7944985;-70.3364601;Perú;474508
Klever Guillermo;-16.7944503;-70.336897;Perú;474507
Klever Guillermo;-16.7947662;-70.3364094;Perú;474505
Klever Guillermo;-16.7945307;-70.3359297;Perú;474502
Klever Guillermo;-16.8853752;-70.3739772;Perú;474589
Klever Guillermo;-16.8853419;-70.3739049;Perú;474541
Klever Guillermo;-16.8852673;-70.3741197;Perú;474511
Klever Guillermo;-16.8855112;-70.3739593;Perú;474503
Klever Guillermo;-16.8853476;-70.3739131;Perú;474559
Klever Guillermo;-16.8854094;-70.3740906;Perú;474529
Klever Guillermo;-16.7917962;-70.3337377;Perú;474591
Klever Guillermo;-16.79178227;-70.33351997;Perú;474590
Klever Guillermo;-16.79177006;-70.33329432;Perú;474588
Klever Guillermo;-16.7918223;-70.3330435;Perú;474555
Klever Guillermo;-16.7917679;-70.3330416;Perú;474554
Klever Guillermo;-16.7917954;-70.3328295;Perú;474587
Klever Guillermo;-16.791767;-70.3325803;Perú;474586
Klever Guillermo;-16.791757;-70.3323473;Perú;474585
Klever Guillermo;-16.7918312;-70.332134;Perú;474584
Klever Guillermo;-16.7918161;-70.3319029;Perú;474583
Klever Guillermo;-16.7918079;-70.3316717;Perú;474582
Klever Guillermo;-16.7917789;-70.3314815;Perú;474581
Klever Guillermo;-16.7918154;-70.331202;Perú;474580
Klever Guillermo;-16.7918379;-70.3309676;Perú;474579
Klever Guillermo;-16.7922255;-70.3338012;Perú;474557
Klever Guillermo;-16.7926684;-70.3347141;Perú;474547
Klever Guillermo;-16.7926832;-70.3340111;Perú;474543
Klever Guillermo;-16.7924655;-70.3341122;Perú;474540
Klever Guillermo;-16.79220367;-70.33546047;Perú;474564
Klever Guillermo;-16.7922284;-70.335182;Perú;474563
Klever Guillermo;-16.7922168;-70.3349727;Perú;474562
Klever Guillermo;-16.7921916;-70.3347396;Perú;474561
Klever Guillermo;-16.7922209;-70.3344781;Perú;474560
Klever Guillermo;-16.7922332;-70.33424331;Perú;474558
Klever Guillermo;-16.7922387;-70.3340268;Perú;474535
Klever Guillermo;-16.7922537;-70.3340137;Perú;474534
Klever Guillermo;-16.7922529;-70.3335514;Perú;474556
Klever Guillermo;-16.7921988;-70.33331491;Perú;474553
Klever Guillermo;-16.7922319;-70.3330527;Perú;474552
Klever Guillermo;-16.7922439;-70.3329016;Perú;474551
Klever Guillermo;-16.7922219;-70.3325839;Perú;474550
Klever Guillermo;-16.7922602;-70.3323364;Perú;474549
Klever Guillermo;-16.7947192;-70.3369591;Perú;474517
Klever Guillermo;-16.794741;-70.3360408;Perú;474504
Klever Guillermo;-16.7947498;-70.3358146;Perú;474501
Klever Guillermo;-16.79330442;-70.33571681;Perú;474533
Klever Guillermo;-16.7934007;-70.3359026;Perú;474532
Klever Guillermo;-16.7935511;-70.3361085;Perú;474531
Klever Guillermo;-16.7942054;-70.3356466;Perú;474530
Klever Guillermo;-16.79401947;-70.33613037;Perú;474528
Klever Guillermo;-16.7938289;-70.3361961;Perú;474527
Klever Guillermo;-16.79401788;-70.33638577;Perú;474526
Klever Guillermo;-16.7942503;-70.3365101;Perú;474515
Klever Guillermo;-16.7942368;-70.3364817;Perú;474514
Klever Guillermo;-16.7947338;-70.336718;Perú;474525
Klever Guillermo;-16.7942677;-70.3360154;Perú;474512
Klever Guillermo;-16.7937884;-70.3357506;Perú;474516
Klever Guillermo;-16.794058;-70.3359053;Perú;474510
Klever Guillermo;-16.794477;-70.3360929;Perú;474509
Klever Guillermo;-16.7946799;-70.33619234;Perú;474506
